date,profit,min_profit,max_profit,cumprofit
2022-12-29,495.0,0.0,551.0,495.0
2022-12-30,-300.0,-300.0,145.0,195.0
2023-01-03,-300.0,-300.0,418.0,-105.0
2023-01-04,-300.0,-300.0,284.0,-405.0
2023-01-05,-300.0,-300.0,116.5,-705.0
2023-01-06,2605.0,-69.0,3149.5,1900.0
2023-01-09,495.0,-241.0,624.5,2395.0
2023-01-10,-300.0,-300.0,0.0,2095.0
2023-01-11,-300.0,-300.0,0.0,1795.0
2023-01-12,-300.0,-300.0,281.5,1495.0
2023-01-13,-300.0,-300.0,103.0,1195.0
2023-01-17,-300.0,-300.0,147.5,895.0
2023-01-18,3671.0,-262.5,3671.0,4566.0
2023-01-19,-300.0,-300.0,431.0,4266.0
2023-01-20,495.0,-249.0,857.5,4761.0
2023-01-23,495.0,0.0,1672.0,5256.0
2023-01-24,495.0,-141.0,565.5,5751.0
2023-01-25,-300.0,-300.0,242.0,5451.0
2023-01-26,-300.0,-300.0,243.5,5151.0
2023-01-27,-300.0,-300.0,234.5,4851.0
2023-01-30,-300.0,-300.0,0.0,4551.0
2023-01-31,495.0,-78.5,561.5,5046.0
2023-02-01,-300.0,-300.0,0.0,4746.0
2023-02-02,495.0,-35.0,1743.0,5241.0
2023-02-03,495.0,0.0,585.0,5736.0
2023-02-06,-300.0,-300.0,255.5,5436.0
2023-02-07,-300.0,-300.0,83.5,5136.0
2023-02-08,-300.0,-300.0,0.0,4836.0
2023-02-09,-300.0,-300.0,0.0,4536.0
2023-02-10,-300.0,-300.0,229.0,4236.0
2023-02-13,495.0,-74.5,644.5,4731.0
2023-02-14,-300.0,-300.0,320.0,4431.0
2023-02-15,-300.0,-300.0,0.0,4131.0
2023-02-16,495.0,0.0,1498.0,4626.0
2023-02-17,-300.0,-300.0,405.0,4326.0
2023-02-21,495.0,-134.0,573.0,4821.0
2023-02-22,495.0,0.0,519.0,5316.0
2023-02-23,495.0,-217.0,514.5,5811.0
2023-02-24,-300.0,-300.0,118.5,5511.0
2023-02-27,-300.0,-300.0,274.0,5211.0
2023-02-28,495.0,-244.5,627.0,5706.0
2023-03-01,-300.0,-300.0,173.0,5406.0
2023-03-02,1909.5,-256.0,2266.5,7315.5
2023-03-03,495.0,-100.0,517.5,7810.5
2023-03-06,495.0,0.0,512.5,8305.5
2023-03-07,-300.0,-300.0,417.0,8005.5
2023-03-08,-300.0,-300.0,148.5,7705.5
2023-03-09,-300.0,-300.0,218.5,7405.5
2023-03-10,-300.0,-300.0,0.0,7105.5
2023-03-13,-300.0,-300.0,0.0,6805.5
2023-03-14,495.0,-57.5,567.5,7300.5
2023-03-15,-300.0,-300.0,212.5,7000.5
2023-03-16,-300.0,-300.0,28.0,6700.5
2023-03-17,-300.0,-300.0,0.0,6400.5
2023-03-20,-300.0,-300.0,0.0,6100.5
2023-03-21,495.0,-202.5,510.0,6595.5
2023-03-22,-300.0,-300.0,493.0,6295.5
2023-03-23,495.0,-127.5,1096.0,6790.5
2023-03-24,-300.0,-300.0,278.5,6490.5
2023-03-27,495.0,-42.5,511.5,6985.5
2023-03-28,-300.0,-300.0,52.5,6685.5
2023-03-29,-300.0,-300.0,0.0,6385.5
2023-03-30,495.0,-267.0,603.0,6880.5
2023-03-31,495.0,-91.5,569.0,7375.5
2023-04-03,-300.0,-300.0,130.0,7075.5
2023-04-04,-300.0,-300.0,0.0,6775.5
